abilites_index,ability_name,ability_description,Generation
0,No Ability,No Ability,0
1,Wonder Guard,Only supereffective moves will hit.,3
2,White Smoke,Prevents other Pokémon from lowering its stats.,3
3,Water Veil,Prevents the Pokémon from getting a burn.,3
4,Water Absorb,Restores HP if hit by a Water-type move.,3
5,Volt Absorb,Restores HP if hit by an Electric-type move.,3
6,Vital Spirit,Prevents the Pokémon from falling asleep.,3
7,Truant,Pokémon can't attack on consecutive turns.,3
8,Trace,The Pokémon copies a foe's Ability.,3
9,Torrent,Powers up Water-type moves in a pinch.,3
10,Thick Fat,Ups resistance to Fire- and Ice-type moves.,3
11,Synchronize,Passes a burn poison or paralysis to the foe.,3
12,Swift Swim,Boosts the Pokémon's Speed in rain.,3
13,Swarm,Powers up Bug-type moves in a pinch.,3
14,Suction Cups,Negates all moves that force switching out.,3
15,Sturdy,It cannot be knocked out with one hit.,3
16,Sticky Hold,Protects the Pokémon from item theft.,3
17,Stench,The stench may cause the target to flinch.,3
18,Static,Contact with the Pokémon may cause paralysis.,3
19,Speed Boost,Its Speed stat is gradually boosted.,3
20,Soundproof,Gives immunity to sound-based moves.,3
21,Shield Dust,Blocks the added effects of attacks taken.,3
22,Shell Armor,The Pokémon is protected against critical hits.,3
23,Shed Skin,The Pokémon may heal its own status problems.,3
24,Shadow Tag,Prevents the foe from escaping.,3
25,Serene Grace,Boosts the likelihood of added effects appearing.,3
26,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.,3
27,Sand Stream,The Pokémon summons a sandstorm in battle.,3
28,Run Away,Enables a sure getaway from wild Pokémon.,3
29,Rough Skin,Inflicts damage to the attacker on contact.,3
30,Rock Head,Protects the Pokémon from recoil damage.,3
31,Rain Dish,The Pokémon gradually regains HP in rain.,3
32,Pure Power,Raises the Pokémon's Attack stat.,3
33,Pressure,The Pokémon raises the foe's PP usage.,3
34,Poison Point,Contact with the Pokémon may poison the attacker.,3
35,Plus,Ups Sp. Atk if another Pokémon has Plus or Minus.,3
36,Pickup,The Pokémon may pick up items.,3
